jqr,esp,gram_cat
jaychkhaya,"hacer matar, mandar matar; **jaychkhaykiri.** s. el/la que hace matar o manda matar",verbo
jaychkhishirqaya,matarse todos(as) a golpes. **jaychishi** V. **jaycha**. **jaychkha.** V. **jaycha.** **jayllata.** v. jugar; s. juego,verbo
jayllatqutru,juguetón(na),adjetivo
jayllatshu,"desordenar, malograr (trabajo, tejido, etc.). **jaynu.** s. marido, esposo",verbo
jaynuni,"casada, que tiene marido. **jaypichi.** v. perder, extraviar; **jaypchita.** adj. perdido(a), extraviado(a); s. lo perdido, lo extraviado",adjetivo
jaypchiya,hacer perder,verbo
jaypichshu,"perder todo, extraviar todo",verbo
jaypichqha,volver a perder o extraviar,verbo
jaypichqhaya,"volver a hacer perder. **jaypta.** v. i. desaparecer; **jayptiri** o **jayptkiri.** s. el/la que desaparece, desaparecido(a); **jayptata.** s. lo desaparecido, cosa desaparecida, adj. desaparecido(a)",verbo
jayptaya,hacer desa-parecer,verbo
jayptqha,volver a desaparecer,verbo
jayptqhaya,volver a hacer desaparecer,verbo
jayptayqha,volver a hacer desaparecer (segunda vez),verbo
jayptayqhaya,"volver a hacer desaparecer (tercera, cuarta vez)",verbo
jayptshu,"i. desaparecer todo. **jayra.** s. baile; canto, canción; canto con baile",verbo
jayrachjayra,"bailar sin parar, bailar sin descansar",verbo
jayrirmashi,compañero(a) de baile,sustantivo
jayrnaqa,bailar por aquí y por allá,verbo
jayrpaya,"bailar cerca, bailar cerca de; cantar cerca, cantar cerca de (por ej. cantar un muchacho a su enamorada)",verbo
jayrpta,"bailar mucho, bailar hasta cansarse",verbo
jayrjayrara,"bailar varias veces rápidamente, con una y otra pareja",verbo
jayrt’a,"bailar; bailar decentemente, con alegría. **jayshu.** V. **jaya** (1). **jayt’a** o **jayts’a.** v. dejar",verbo
jayt’aya,hacer dejar,verbo
jayt’ayqha,volver a hacer dejar (lo que se había dejado),verbo
jayt’ayqhaya,volver a hacer dejar,verbo
jayt’nuqu,"dejar (algo en un lugar). **jaa** (1) adv. sí (afirmación normal, no enfática)",verbo
jaamshu,"ponerse vacío(a), quedar vacío(a); quedar liviano(a), sin peso. **jibi.** s. jebe. *** **jityaya**. v. orientar.*** **jityqi** (1) v. ladrar. **jityqi** (2) v. descender en ladera apoyándose con ambas manos (dando la espalda a la ladera). **jityqshu.** v. salir",verbo
jityquru,"meterse; ponerse (el sol); meterse velozmente a hueco o cueva (por ej., la culebra a un hueco); encogerse (ropa)",verbo
jityqurshu,"meterse todos(as) rápidamente (a hueco, casa o cueva). **jifi.** s. jefe. **jija.** v. acercar, mover más hacia acá; desplazarse (en soga o cuerda tendida, agarrándose con pies y manos o solo con las manos)",verbo
jijaya,hacer acercar; mover el lindero (para ganar extensión de terreno),verbo
jijkatqha,"volver a acercarse (al lado de otro(a), no hacia acá)",verbo
jijkatarqaya,acercarse todos(as) al mismo tiempo,verbo
jijkataya,"hacer acercar más para que haya más espacio (en terreno, asiento, etc.). **jíkushu.** s. higo. **jik’i.** s. hipo",verbo
jik’shu,hipar,verbo
jik’qha,volver a hipar,verbo
jik’jik’ara,cortarse la rspiración (cuando echan agua súbitamente),verbo
jik’jik’araya,"hacer cortar la respiración (echando agua). **jila.** v. crecer (plantas, pelo, uñas, barba)",verbo
jilaya,"hacer crecer, dejar crecer (uñas, pelo, barba, bigote)",verbo
jilpta,"crecer demasiado (plantas, pelo, uñas, barba)",verbo
jilptaya,hacer crecer demasiado,verbo
jilshu,crecer. **jilatyi.** s. gracias,verbo
jilapsa,"p. e. dar gracias que, deber dar gracias que",desconocido
jilapsjamara,fleco (de manta). **jili.** s. anciano respetable (que no es de la familia). (u. a.) **jilshu** V. **jila**. **jinchu.** s. oreja,sustantivo
jipshu,"esquilar, trasquilar; **jipshuta.** adj. cortado(a), esquilado(a), trasquilado(a)",verbo
jirp’qhasa,"tener o llevar algo en la falda o delantal. **jiryunda.** s. hija (en tono familiar). V. **japutsa**. ***es peyorativo más que familiar*** **jisha.** intj. ¡so! (para arrear o espantar ternera, becerro, cabra, carnero, pato, gallina, pavo; no para vaca, caballo, burro, perro o gato). **jiwa.** s. muerte; v. morir, fallecer; apagarse (vela, fogón, radio, TV, etc.); **jiwiri.** s. el/la que muere, muerto(a), difunto(a)",verbo
jiwaya,"hacer morir, matar; apagar (vela, fogón, radio, TV, etc.); **jiwyiri** o **jiwaykiri** s. el/la que mata, matante, asesino(a)",verbo
jiwmuku,"desmayarse, perder el conocimiento (un momento)",verbo
jiwnuqu,"morir (toda una familia, un pueblo, muchos animales o personas)",verbo
jiwnuquya,"hacer morir, matar (a toda una familia, a un pueblo, a muchos animales o personas); **jiwnuquyiri** o **jiwnuquykiri.** s. genocida, matante de mucha gente",verbo
jiwqha,volver a morir; volver a apagarse,verbo
jiwayqha,"volver a apagar (vela, fogón, radio, TV, etc.)",verbo
jiwt’a,"desmayarse. **jiwaya** V. **jiwa**. **jiwk’a** o **jiwk’i.** s. tostadora, olla para tostar. **jiwmuku** , **jiwnuqu** V. **jiwa**. **jiwsa.** pron. nosotros(as) (incluye al oyente)",verbo
jiwskuna,"nosotros(as), todos(as) nosotros(as). **jiwt’a** V. **jiwa**. **jucha.** s. culpa, falta; pecado",pronombre
juchantsa,pecar; incurrir en falta o culpa,verbo
juchani,culpable; pecador(a),adjetivo y sustantivo
juchaniwt’a,"cometer falta o culpa, incurrir en falta o culpa; pecar. *** **juchantskha**. v. amenazar.*** **juchqa** (1) s. ratón; persona que se casa o convive con pariente(a) cercano(a)",verbo
juchqshu,"casarse o convivir con pariente(a) cercano(a). **juchqa** (2) s. musculatura del muslo, masa muscular del muslo. **juchqapiri.** s. orzuelo. **juku.** v. respirar; s. aliento, respiración",verbo
jukshuyu,"hacer respirar al que está asfixiándose. **-jukha.** suf. tanto(a)... cuanto(a), tanto... como (en compa- raciones correlativas). Ej.:",verbo
jumkuna,ustedes. **juma** (2) v. fumar,pronombre
jumiga,fumigar. **jumq’u.** v. retener agua en la boca; hacer gárgaras; hacer buches,verbo
jumq’shu,"enjuagarse la boca, lavarse los dientes, hacer gárgaras",verbo
jumq’urpaya,arrojar el agua retenida en la boca,verbo
jumq’qhasa,"retener el agua un momento en la boca y arrojarla. **junch’i.** s. oca (variedad de tubérculo andino comestible). **juntr’u.** adj. caliente, caluroso(a); s. calor; v. hacer calor, estar caliente",verbo
juntr’pta,empezar a hacer más calor,verbo
juntr’uya,"hacer quemar, hacer incendiar",verbo
juntr’uyjuntr’u,"muy caliente, muy caluroso(a)",adjetivo
juntr’shu,quemar todo; **juntr’shuta.** adj. quemado(a); s. lo quemado,verbo
juntr’shuya,"hacer quemar todo, hacer incendiar todo. **juni.** v. escarbar, cosechar (tubérculos)",verbo
junshu,"sacar escarbando (tubérculos, raíces, etc.)",verbo
junjunara,"escarbar, cosechar (tubérculos) por aquí y por allá. **júniyu.** s. junio. **junk’a.** s. sombra",verbo
junk’antsa,"dar sombra, hacer sombra",verbo
junk’paya,hacer sombra; proyectar sombra; sombrear; cortejar; enamorar,verbo
junk’t’aya,"hacer sombra, proyectar sombra. **jupa.** pron",verbo
jupuqaya,"burbujear; formarse espuma o burbujas. **juqu.** v. verter, echar (líquido)",verbo
juqkipa,vaciar (líquido de un recipiente),verbo
juqthapa,"echar agua, echar agua de socorro. **jura.** s. maíz germinado, sirve para hacer chicha. **jurku.** v. ahorcar. **jurshu.** v. abortar. V. **phaqarpaya**. **jusa.** s. hoz. **jusi.** v. caer (tierra o granos menudos)",verbo
jusaya,"(granos), dejar caer (granos)",verbo
jusiri,"granos que quedan en el suelo luego de desgranar, de los cuales se recogen los que sirven. **júsishi.** s. colaboración en trabajo o ayuda material que se retribuye de igual manera; v. colaborar en el trabajo o dar ayuda material, lo cual se retribuye de modo semejante; **jusíshiri.** s. colaborador(a) en trabajo o ayuda material, que se retribuye de igual manera. **juspta.** v. levantarse todos(as) (para aclarar o protestar); moverse de un lado a otro (abejas u hormigas molestadas). **justisha.** s. justicia, la justicia",sustantivo
jutquru,aspirar profundamente. **juwayna** V. **fayina**. **juybisi.** s. jueves. ## K **-k.** suf. indica tiempo presente. Ej.:,verbo
kaballiriya,"caballería. **kabra.** s. cabra, chivo. **kachina.** s. cachina (licor de uva fresca fermentada). **Kachuya.** s. Cachuy (pueblo de la provincia de Yauyos en el cual se habla jacaru.) **katyi.** s. sal",sustantivo
katyintsa,"salar, echar sal",verbo
katyintsqha,"volver a salar, volver a echar sal. **katrha** o **katra.** s. manta",verbo
katrhuru,ponerse la manta. **kafi.** s. café,verbo
kafitira,cafetera. **-kaj.** suf. es unión de,sustantivo
kakpta,caerse de espaldas (a partir de la posición de sentado(a)). **kalaku.** s. pelo enredado; lana tupida,verbo
kalaktr’a,"enredarse mucho el pelo; ponerse tupida (lana). **kalsunha.** s. calzón (prenda interior femenina). **kalli.** s. calle. **kallki** (1) s. pedregal, cascajal; v. hacer doler (al pisar piedras o cascajo). **kallki** (2) V. **kayu**. **kallpa.** s. fuerza, fortaleza; poderío",verbo
kallpantsa,for-talecer,verbo
kallpani,"fuerte; poderoso(a). **kallwi.** v. aporcar por segunda vez (quitar mala hierba, reforzar con tierra la raíz o tallo de las plantas y preparar la acequia); s. segundo aporque. V. **ashuwi**. **kama.** v. ser suficiente, alcanzar; caber",adjetivo
kámacha,sufi- ciente,adjetivo
kamacht’a,medirse la ropa; probarse prenda de vestir,verbo
kamatsa,"medir, comparar, medir comparando",verbo
kamkhishi,"i. medir, tener (una) extensión de",verbo
kamuru,"acomodar en olla (papas, camotes, para que no ocupen mucho sitio). **-kama.** suf. hasta. Ej.:",verbo
kanchiri,pescador(a). (TMX-JCT). **-kantyi.** suf. Es unión de -,sustantivo
kantpaya,cantar (a otra persona) siempre y muy de cerca. V. **jayrpaya**,verbo
kantu,"canto, canción. **-kanwa.** suf. Es unión de -",sustantivo
kapucht’a,poner capucha,verbo
kapucht’ishi,"ponerse capucha. **karbunha.** s. carbón. **karka** (1) s. bosta (excremento seco de ganado mayor); suciedad, mugre (del cuerpo humano); adj. sucio(a), percudido(a) (ropa)",verbo
karktr’a,"ensuciarse mucho, percudirse mucho. **karka** (2) v. cansarse de hacer algo, hastiarse de algo",verbo
karkpta,"comenzar a sentir cansancio o hastío de algo. **karkishi** o **kargishi**. cargar. **karma** o **karmaja.** s. varón, hombre; marido, esposo. **karmina.** v. escarmentar, castigar ejemplarizadoramente. **karu.** adj. caro(a). **karrira.** s. carrera (profesión); servicio militar (u. a.). **karru.** s. carro, automóvil. **kartunha.** s. cartón. **-kasa.** suf. ya; hace (adv.). Ej.:",verbo
kasamintu,"casamiento. **kasu.** v. hacer caso, obedecer",sustantivo
kataya,hacer agarrar; hacer capturar; hacer cazar o pescar; hacer cuajar,verbo
katkha,"agarrar de la mano, tomar o coger de la(s) mano(s); manosear, tocar a alguien",verbo
katkhishi,tomarse de la(s) mano(s); **katkhishushu.** adv. tomado(as) de la(s) mano(s),verbo
katqha,alcanzar en el camino,verbo
katt’a,"cortarse (leche). **katkha** , **katkhishushu** V. **katu**. **kawi** V. **kawki**. **kawiti.** s. catre, camastro. V. **iknushu**. **kawki.** pron. ?dónde?",verbo
kawi,"?dónde?,",pronombre
kawna,rel. donde,pronombre
kayuña,piececito,sustantivo
kallki,descalzo(a). **kaaka.** s. pluma; ala. **-ki.** suf. Variante de -,adjetivo
kikpha,"parecido(a), igual",adjetivo
kilúmitru,"kilómetro. **killa.** s. cuarto creciente, luna recién naciente, **killanchu.** s. cernícalo. **-kimanqa** , **-kinhanqa** , **-kisanqa**. suf. Se trata de -",sustantivo
kimsasana,tres cada uno(a). **kinchi** V. **inchi**. **kinwa.** s. quinua. **kiña.** s. lindero,adverbo
kiñkha,"poner lindero, poner marca de lindero",verbo
kiñkhishi,"colindar, tener límites, limitar",verbo
kipintsa,hacer atado. **-kipna.** suf. es -,verbo
kuchupa,"reborde del queso, borde sobresaliente del queso",sustantivo
kuchuru,marcar ganado con pequeño corte en la oreja; s. incisión de marca en la oreja del ganado,verbo
kuchkha,"cortar; cercenar, sacar cortando (con cuchillo)",verbo
kuchkhishi,repartirse; s. repartición. **kutyi** (1) s. vez,verbo
kuyla,"colar. **kulíjiyu.** s. colegio (centro educativo). **kulura.** s. color. V. **íllkiri** (en **illa** ). **kulla. s.** planta que crece en tiempo de lluvia. Una variedad tiene hojas lisas y otra con pilosidades que las hacen adherirse al vestido. **kúllaka.** s. matrona, anciana respetable (que no es de la familia). **kumishunha.** s. comisión",verbo
kupiru,"a la derecha, hacia la derecha",adverbo
kupitha,"de la derecha, desde la derecha. **kupira.** v. cooperar. **kura.** s. cura, sacerdote. **kurasunha.** s. corazón. V. **k’iptsa**. ***kurasuna*** **kurku.** s. joroba, giba; jorobado(a); v. agacharse",adverbo
kurkshuta,"jorobado(a). **kurrala.** s. corral. V. **uyu** (1). **kursuniru.** s. escorzonera, planta de hojas espinosas y flores blancas. Uso medicinal: para la gripe y males del hígado. **kurta.** s. calostro",adjetivo
kurtshu,"cortarse (leche). **kúruru.** s. ombligo. **kuska.** adv. igual, parejamente; juntos(as)",verbo
kuskantsa,"nivelar, igualar",verbo
kuskay-kuska,bien parejo,adverbo
kuskuska,"parejamente; en pie de igualdad, de igual a igual. **kuskusa.** adj. bueno(a) (en sentido irónico)",adverbo
khakhara,"romper pared, abrir hueco en la pared; derribar pared",verbo
khakhwaqa,"derribar una parte de la pared para dar paso. **khallwa.** s. implemento de madera con el cual se aprieta la trama en el telar. **khanki.** adj. sucio(a), percudido(a) (ropa); sucio(a) (persona, por suciedad del cuerpo, de la piel o de la ropa). **khari.** v. desollar, sacar el pellejo; degollar",verbo
kharshu,"desollar, sacar todo el pellejo de animal que se ha matado. V. **sijpshu**. **khasi.** v. eructar",verbo
khasuru,"asimilar, aprender (lo ajeno). (Lit",verbo
khitrishi,"rascarse. **khitrki.** adj. repleto(a) (de gente); apretujados(as). **khila.** v. hacer hueco(s) u hoyo(s); perforar, horadar; perforar de un hincón; perforar con punzón o clavo al rojo; **khilatra** adj. perforado(a), horadado(a); s. hueco (pasando de un lado a otro, atravesando), perforación. V. **p’utranku** , **utyhunsa**",verbo
khilara,perforar (con taladro),verbo
khilkhilara,"hacer huecos en varios lugares. **khiskata.** v. rozar, tocar; pasar rozando. **khita.** v. mandar, enviar, ordenar (se haga algo)",verbo
khitnaqa,"ordenar o mandar por aquí y por allá. **khullu.** s. tronco (de árbol); adj. grueso(a) (pierna, poste, etc.)",verbo
khulltr’a,"i. endurecerse, ponerse duro(a) (como un tronco). **khuwa.** pron. ese(a), eso; aquel, aquella, aquello; adv. allá, enfrente",verbo
khuwaru,"para allá, hacia allá, hacia enfrente",adverbo
khuwapha,"adv. por allá, por enfrente",adverbo
khuwtraqa,"más allá, un poco más allá; v. acercarse más allá",adverbo
khuwkhata,"al frente, enfrente",adverbo
khuwna,"allá, allí",adverbo
khuwyaqa,"allá atrás, allá a la vuelta. **khuwtraqa** V. **khuwa**. **khuwkhata** , **khuwna** V. **khuwa**. **khuwyaqa** V. **khuwa**. **khuyu.** v. silbar (una canción o melodía). V. **wijtyi**. ## K’ **k’atra.** v. roer. *** **k’atratra**. adj. renegón(na), malgeniado(a).*** **k’aka.** adj. estrecho(a), angosto(a) (camino, entrada, etc.). **k’aktr’a.** v. abrir las piernas.***k’aktratra. v. abrir las piernas.*** **k’aki** (1) s. rajadura, fisura, abertura; v. rajarse, tener rajadura o fisura, estar rajado(a)",adverbo
k’akicha,"rajado(a), reventado(a) (por ej., higo(s))",adjetivo
k’akk’akara,"cuartearse (tierra seca, etc.); rajarse en varios sitios; s. frutas maduras. **k’aki** (2) v. arrancar (hojas, planta, etc.)",verbo
k’akshu,"arrancar (hojas, planta, etc.); arrancar todo (hojas, planta, etcétera). **k’ak’ak’a.** v. crujir (por ej., ramas que están por romperse). *** **k’allpa**. v. traer o llevar brasa en tiesto.***",verbo
k’allpanchu,"tiesto, fragmento de cerámica. **k’allpi.** s. triángulo (adorno que se hace en la faja). **k’ana.** s. trenza (del cabello, y cordón de dos cuerdas de lana que sirve para amarrar el cabello de las mujeres); v. trenzar",sustantivo
k’anta,"hacer hilo o cuerda de dos hebras (en el huso de hilar). **k’anhi.** v. brillar, resplandecer",verbo
k’anhlli,"resplandeciente, brillante; v. arder (brasa). **k’anshu.** v. i. despejar, aclarar (cielo), escampar.***k’aqshu, no ""k’anshu""*** **k’apaqa.** adj. roto(a), quebrado(a). (SB) **k’apku.** adj. a medio cocer o cocinar (maíz)",adjetivo
k’awra,"a medio cocer o cocinar (comida, papas, etc.). **k’apllshu** V. **q’apllshu**. **k’ara.** v. llevar o traer brasa(s). **k’ashi.** s. peciolo; palito o tallito de las ramas. (II) **k’ashka.** adj. tierno(a) (maíz, calabaza). V. **nanta**. **k’ata.** s. techo (JMBF). **k’awna.** s",adjetivo
k’ayshu,"ponerse ácido(a) o agrio(a), acedarse; salarse. **k’aywi.** v. cabecear (de sueño). V. **iki**. **k’ichi.** v. pellizcar; arrancar hojas del maíz, arrancar hojas de mazorca de maíz, ""despancar""",verbo
k’ichkha,"pellizcar súbitamente. **k’ili.** v. arrancar (hojas, flores, frutas)",verbo
k’ilk’ilara,"arrancar (hojas, flores, frutas) aquí y allá rápidamente",verbo
k’ilkha,"arrancar (hojas, frutas)",verbo
k’ilkhishi,"arrancarse, caer (frutas, hojas)",verbo
k’ilpta,"arrancar todo (hojas, flores, frutas) en todo el lugar. **k’imi** o **k’imishi** v. copular, fornicar; menearse provocativamente. **k’inchkha.** v. doblar en triángulo parte delantera del",verbo
k’utrisana,"pulguiento(a). **k’utru.** v. cortar (con machete, sierra); dividir. V. **kuchu** y **jipi**. **k’uku.** adj. estrecho(a), angosto(a) (pasadizo, galería, quebrada); s. pasadizo estrecho, galería estrecha, desfiladero angosto. **k’ulli** (1) v. nacer, salir (planta, dentadura); brotar (plantas, después del sembrado). V. **jila**",adjetivo
k’ullk’ullara,"crecer o brotar (plantas) por aquí y por allá, crecer o brotar en todas partes",verbo
k’ullnuqu,"brotar muchos(as), brotar mucho. **k’ulli** (2) s. arbusto de tallo consistente; sirve para leña. **k’umtya.** v. querer, amar. V. **muna**",verbo
k’umtyishi,"quererse, amarse. **k’uñu.** s. cántaro. **k’uplli.** v. arrancar ramas o ramitas, romper ramas o ramitas; s. crujido (de ramas que se quiebran). **k’urpa** (1) v. hacer queso. **k’urpa** (2) v. romper terrones (lo hacen golpeando el terrón contra una piedra, no tienen el mazo o",verbo
k’urpi,"terrón duro. **k’uru.** v. escarbar (gallina, perdiz, etc.). (u. a.) **k’uytyu.** s. cuy (roedor)",sustantivo
lamrt’a,"inundarse, anegarse. **lanqha.** s. persona muy alta, gigante; adj. muy alto(a), gigan-tesco(a)",verbo
lanqhshu,"agigantarse, volverse gigante; **lanqh-shuta.** adj. agigantado(a). **lap’a.** adj",verbo
laqatha,"excesivamente, muchísimo",adverbo
laqshu,"volverse malo(a) o feo(a), empeorar",verbo
laqshuya,"t. empeorar, malograr, dañar; volver malo(a) o feo(a). **laqshu** V. **laqa**. **laqra.** s. hendidura; hondonada; vasija grande de mate. **laranju.** s. naranja (planta y fruta). **Larawa.** s. Laraos (pueblo de la prov. de Yauyos). **lari.** s. hermanos y primos del que inaugura casa (dato de la misma fuente que **chinki** ). **lasu.** s. soga, lazo",verbo
lasaya,"lacear (arrojar lazo al cuello del animal); **lasaykiri.** s. laceador(a). **lata.** s. lata; recipiente o envase de hojalata. **latamu.** s. árbol grande de racimos pequeños, de fruto no comestible. **latu.** s. lado, costado",verbo
lukshu,"i. volverse loco(a), enloquecer, ponerse tonto(a). **lukru** V. **luku. lulu.** s. maíz de grano redondo y grande (para mote)",verbo
luqurqha,emborracharse nuevamente,verbo
luq’shu,"i. ensordercer, volverse sordo(a); **luq’shuta.** adj. ensordecido(a), sordo(a)",verbo
luq’shuya,"t. volver sordo(a), ensordecer. **lutu**. adj. azul marino. ### LL **llama.** s. llama (animal). V. **qawra**. **llangawasi.** s. yerba parecida a la wamanripa, de flores azules. **llanu.** adj. llano(a). **llanupha.** adj. mucho(a), demasiado(a); adv. mucho, demasiado. **llanhshi** (1) o **llanhshshuta**. adj. hablador(a), parlanchín(na)",verbo
llanhshi,pequeño(a) (perros de raza pequeña). **llapllapa.** p. e. onom. del ruido que hace el perro al comer o beber,adjetivo
llapllapta,"hacer ruido el perro al comer o beber; hablar demasiado, sin parar, hablar sin dejarse entender. **llaqllaqta** o **llanhllanhta.** v. hablar demasiado. **llaq’i.** v. comer muy despacio; ser último(a) en terminar de comer. **-lli.** suf. pues, entonces. Ej.:",verbo
lluqalluña,"niñito, muchachito. **lluqlluqa.** p. e. onom. del ruido que produce el agua al moverse o agitarse el recipiente que la contiene",sustantivo
lluqlluqta,"producir ruido el agua al sacudirse su recipiente. **lluq’i.** s. rama (de árbol); palo, bastón, vara",verbo
machaya,hacer regar,verbo
machmaya,"sin regar, sin riego",adjetivo
machpta,"dar el primer riego, regar por primera vez (después de aporcar). V. **ashuwi**",verbo
machshu,"regar todo, terminar de regar. **machaqa.** adj. nuevo(a)",verbo
machaqshu,i. renovarse,verbo
machaq-shuya,"t. renovar. **machpta** , **machshu** V. **macha**. **machurra.** s. mujer estéril, hembra estéril. **matya.** s. soga trenzada de tres cuerdas",verbo
matyira,"antes que, antes de que",adverbo
-maya,"yerba que da frutos parecidos a uvas, que son venenosos para el ganado. **matri.** s. licor de variada mezcla, que embriaga rápido. **matr’iqi.** v. patalear. **maja.** v. ir, irse",sustantivo
maqha,"regresar, irse de regreso; irse",verbo
mayaya,hacer ir. **majama** o **manjama**. adv. así (mostrando cómo hacer). **majichi.** v. pedir,verbo
majichqha,"reclamar o pedir (lo propio), pedir devolución; pedir nuevamente. **majichu** V. **maya**. **majunu** o **majusu.** s. deuda",verbo
majnusana,"deudor(a), que tiene deuda(s). **Makshi.** s. Máximo. **mákuru.** s. testículo(s); escroto",adjetivo
mallaja,"de hambre, sin comer; sobrio(a)",adjetivo
mallkshu,"podar. V. **ch’apllshu**. **-mama.** suf. te (yo a ti, en futuro). Ej.:",verbo
mansaya,"amansar. **mantaylla.** s. segundo día de la fiesta de la Virgen de la Candelaria, en que las mayoralas invitan a sus mayordomos. **mantishi.** v. deliberar",verbo
mantisht’a,"deliberar; decidir, ponerse de acuerdo. **mant’a** o **mants’a.** v. tender",verbo
mant’tata,"extender (por ej., poner cosas unas junto a otras). **manha.** adv. abajo, debajo; adj. ese(a) de abajo (señalando con la mano)",verbo
manharu,"para abajo, hacia abajo",adverbo
manhatha,"de abajo, desde abajo",adverbo
manhna,abajo,adverbo
manhqa,"abajo, debajo",adverbo
manhqaru,hacia abajo,adverbo
manhqatha,desde abajo,adverbo
manqhyaqa,"la parte de abajo (por ej., viendo desde lo alto de un precipicio)",sustantivo
manhqhyaqna,en la parte de abajo,adverbo
manhyaqa,V. **manhqhyaqa**,desconocido
manhyaqna,"zapallo. **marati** V. **qumpishi**. **mariyamacha.** s. marimacha, lesbiana. **marka.** s. pueblo, ciudad; Tupe (a menos que se exprese que uno va a un pueblo determinado (Aysha marka, Wantanha marka, etc.), la palabra",sustantivo
mataya,causar matadura o llaga en el lomo de bestia de carga; causar huella o herida en cualquier parte del cuerpo por apretadura de cuerda,verbo
matpta,"formarse matadura, formarse herida por apretadura de cuerda; **matptata.** adj. con matadura, con herida por apretadura de cuerda",verbo
matptaya,"causar muchas heridas en el lomo con sogas o correas con que se sujeta la carga. **mata** (2) s. demente, loco(a). **-mata.** suf. futuro de segunda persona. Ej.:",verbo
mayacha,"súbitamente, de pronto, de repente",adverbo
mayantsa,"unificar, unir",verbo
mayankiri,"primero(a), que está en primer lugar",adjetivo
mayanqa,"en una ocasión, una vez, en una de esas; otra vez",adverbo
mayapqa,"a veces, en una ocasión",adverbo
mayasana,"uno(a) cada uno(a), uno(a) para cada uno(a)",adverbo
mayatha,"de otro sitio, de otro lugar; nuevamente, una vez más",adverbo
mayatskha,"nuevamente, otra vez, una vez más",adverbo
mayni,"otro(a), uno(a); s. reemplazante, sustituto(a), lugarteniente",pronombre
maynshu,"i. ser otro(a), ser diferente",verbo
maynshuya,"t. hacer que sea otro(a), hacer que sea(n) diferente(s)",verbo
majichu,"una cosa, un secreto; adj. uno(a), cierto(a)",sustantivo
mayuña,"riachuelo.***máyuña*** **mayu** (2) s. mayo. **mayurala.** s. muchacha, joven soltera que participa en la organi- zación de fiestas como la Virgen de la Candelaria.***fiestas que duren más de dos días, no sólo la de la Candelaria*** **michiku.** s. perro guardián; policía de seguridad (de empresa particular), ""guachimán"" (col.). **mitr’a** o **mitr’asiki.** adj. y s. tacaño(a), miserable. **midi.** v. t. medir. V. **kamkhishi**. **mídiku.** s. médico(a). **mídiya.** s. media, calcetín; media, educación secundaria. **mila.** s. miel; adj. dulce",sustantivo
milshu,i. ponerse muy dulce,verbo
milshuya,t. poner muy dulce. **milaku.** adj. rojo(a) oscuro(a); s. milagro,verbo
milakshu,ponerse rojo(a) oscuro(a),verbo
milakshuya,"t. poner rojo(a) oscuro(a), teñir rojo(a) oscuro(a). **milli.** v. tener asco, sentir asco",verbo
millkha,"sentir asco repentinamente. **millkiri.** s. variedad, clase, especie. Es variante de **illkiri**. V. **illa**. **millk’i.** v. torcer",verbo
millk’kha,torcer súbitamente,verbo
millk’- shishi,"retorcerse, torcerse",verbo
millk’shu,"retorcer comple-tamente, retorcer todo. (La secuencia -",verbo
millwtr’a,"enrollar, enroscar",verbo
millwtr’ishi,"enroscarse (culebra), enrollarse",verbo
millwshu,"enrollar todo, envolver todo. **-mina.** suf. con. Ej.:",verbo
miraya,"hacer reprodu- cirse, hacer aumentar o multiplicarse",verbo
mirnuqu,"proliferar, multiplicarse en exceso",verbo
mirnuquya,hacer proliferar,verbo
mirpta,"tener muchas crías, aumentar o reproducirse mucho. **mirkulisi.** s. miércoles. **mirk’i** o **mirki.** s. mancha oscura que sale en la cara a la mujer gestante o a quien está mal del hígado. **Misqala.** s. topónimo (puede significar ""piedra en forma de mesa"" o también ""piedra del brujo"", ya que",verbo
mishuru,un día,adverbo
misharuma,"una noche. **mita.** s. turno. **mitu.** s. árbol frondoso de unos tres metros de alto, de hojas anchas, con fruto de color verde, parecido a la papaya. **miyu.** s. alimento malo",adverbo
muchuya,"hacer besar; hacerse besar, dejarse besar",verbo
muchmuchara,dar besos por aquí y por allá,verbo
muchpta,besar varias veces (a una sola persona),verbo
muchqhasa,besar prolongadamente,verbo
mucht’a,"besar, dar un beso; adorar, venerar (imágenes, a dios, etc.)",verbo
mucht’aya,"hacer besar; hacer adorar, hacer venerar. **muchu** (2) s. carnero (macho, con o sin cuernos). V. **wakcha**. **muchu** (3) adj. sin filo, romo(a). V. **qhullu**. **muts’i** V. **mut’i**. **muty’i.** s. sombrero de ala angosta.***orejas pequeñas*** **mutrka.** s. mortero (piedra con concavidad, para moler); Mutrca (topónimo de las cercanías de Ayza; algunos allí hablan de modo algo distinto que en Ayza y Tupe (por ej., como en Cachuy cambian /",verbo
mutrmutrta,"producirse ruido al comer maíz tostado o pasto. **mutrhu.** s. castigo; v. sufrir castigo, recibir castigo; sufrir. **mujchatha.** adv. despacio, lentamente; en voz baja",verbo
mujsatsa,"t. endulzar. **muju** (1) o **muji.** v. oler, olfatear",verbo
mujkata,t. oler (una sola vez),verbo
mujnaqa,"t. husmear, olfatear aquí y allá (perro). **muju** (2) s. animal jefe o padre de la manada; padrillo, semental (carnero, chivo, toro; no caballo ni burro). V. **ichuru**. **-muku.** suf. de pasada, rápidamente. Ej.:",verbo
munaya,"hacer querer, hacer desear (y no invitar o convidar)",verbo
munmuncha,"con gusto, con ganas",adverbo
munpta,"querer de pronto, empezar a querer",verbo
munishi,"quererse, amarse",verbo
