jqr,esp,gram_cat
aphrshu,"abrir todo, destapar todo. **aphnatsa** , **aphnatsshu** V. **apa**. **aphra.** adv. al crepúsculo, al amanecer",verbo
aphraphra,"bien al amanecer, tempranito",adverbo
aphrja,al crepúsculo,adverbo
aphrjacha,bien temprano al amanecer,adverbo
aphrkha,al amanecer lo más temprano posible,adverbo
aphrts’a,"empezando el crepúsculo. ***aphrt’a*** **aphuru** , **aphurshu** V. **apa**. **aqkipa.** v. voltear, dar vuelta (a un objeto o cuerpo). **aqhi.** s. cueva, caverna. **aqhu.** s. arena",adverbo
aqhaqhu,"arenal. **araganha** o **jarragana.** s. haragán(a), ocioso(a). **árbuli.** s. árbol. **arisana.** s. cumbres (de cordillera o de sucesión de cerros). ***ariysana***",sustantivo
ariya,"arriba, en la parte alta; s. cumbre",adverbo
ariykama,hasta arriba,adverbo
aryapha,por arriba,adverbo
ariyaru,"hacia arriba, para arriba",adverbo
ariyatha,"de arriba, desde arriba",adverbo
arqa,"arriba, en la parte alta",adverbo
arparpara,lavarse la cabeza a la ligera y mal,verbo
arpmuku,lavarse la cabeza a la pasada,verbo
arpshishi,lavarse la cabeza.***arpshushi***,verbo
arpshuya,hacer que otro(a) se lave la cabeza. **arpa.** (2) s. arpa,verbo
jarpista,"arpista. **arpaqa.** v. retirarse, apartarse; hacer lugar (para que alguien entre o pase). **arpi.** v. arrastrarse, reptar; gatear; **arpiri** o **arpkiri.** s. y adj. que se arrastra, que repta, rastrero(a), que gatea. **arpmuku** , **arpshuya** V. **arpa** (1). **arqa** V. **arisana**. **arshqha** V. **aru**. **art’a** V. **aru. aru.** s. habla, lenguaje, idioma; palabra; v. hablar; llamar",sustantivo
arapasa,"hablar, rumorar; chismear, mencionar; **arapasiri** o **arapaskiri.** s. hablador(a)",verbo
ararushu,"hablar ligero, casi sin dejarse entender; hablar a la pasada",verbo
arishi,"conversar, hablar; s. conversación, diálogo",verbo
arishpta,V. **arushpta**,desconocido
armuku,"amonestar, reconvenir, reñir; hablar (a alguien) en voz alta",verbo
arnaqa,"hablar o divulgar por aquí y por allá, andar divulgando por aquí y por allá",verbo
arpaya,"enamorar, cortejar",verbo
arshqha,volver a hablar (en general y también con alguien con quien uno(a) estaba enemistado(a)); reanudar una conversación,verbo
arshu,hablar (a alguien),verbo
arshuya,"hacer hablar, hacer confesar",verbo
arshuyqha,volver a hacer hablar (algo ya dicho),verbo
artata,"empezar a hablar, aprender a hablar (niño(a))",verbo
artataya,tratar de hacer hablar (a niño(a) que recién aprende o a loro),verbo
arthapa,hablar algomás; agregar alguna opinión o argumento durante la conversación,verbo
art’a,"dar a conocer opinión; hablar en público; pronunciar discurso; **art’iri.** s. el/la que habla en público, orador(a)",verbo
arushpta,"empezar a hablar (personas que se encuentran); empezar a hablarse, entablar amistad (enamorados)",verbo
arusht’a,"conversar brevemente de paso, conversar un momento",verbo
arushu,"conversar. **aruma.** s. noche, madrugada; adv. de noche, de madrugada",verbo
arumatha,"de noche, de madrugada",adverbo
arumkasa,ya en la noche,adverbo
arumshu,anochecer,verbo
arumt’a,"i. anochecer, oscurecer",verbo
arumt’aya,"anochecer en un lugar, quedarse a pasar la noche en un lugar",verbo
arum- t’ayqha,"volver a anochecer en un lugar, volver a hacer pasar la noche en el mismo lugar",verbo
arumt’qha,"i. volver a anochecer, volver a oscurecer",verbo
armanta,temprano al amanecer; **armantacha.** adv. bien temprano al amanecer,adverbo
armantha,temprano en la mañana,adverbo
armarmacha,"muy temprano en la madrugada (antes del alba). **arumt’qha** V. **aruma**. **arushpta** , **arusht’a** , **arushu** V. **aru**. **arridilla.** s. yerba pequeña de hojas redondas, verdes, y flores rojas, utilizadas como adorno en la fiesta de la herranza. **arrusa.** s. arroz.***arrusu*** **asa.** v. llevar o traer (recipiente que contiene líquido o granos, como taza, plato, balde, etc.)",adverbo
asnaqa,llevar o traer por aquí y por allá (recipiente con líquido o granos),verbo
aspta,sacar agua o líquido con recipiente; recoger platos o tazas del suelo o de la mesa,verbo
asshu,"sacar recipiente de líquidos; sacar líquido con recipiente. **Asarpatsa.** s. topónimo (a orillas del río Tupe, cerca de Ayza).***cerca de Colca)*** **astr’a.** adj",verbo
askiya,"preguntar o consultar (al adivino, por su suerte o el futuro, en la fiesta de la herranza, durante la ""toma de sangre""). ***askaya***",verbo
askshu,"preguntar todo, preguntar hasta el más mínimo detalle. **aspta** , **asshu** V. **asa**. **asu.** s. raíz",verbo
asuni,"con raíz, que tiene raíz",adjetivo
asint’a,"arraigar, echar raíz",verbo
aswishi,"sin raíz, que no tiene raíz. **-asu.** suf. cerca de, al lado de, junto a",adjetivo
ashatha,desde ahora,adverbo
ashkama,hasta ahora,adverbo
